,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,AUC,Mutual Information,Normalized MI,Randomized Dependence Coefficient,Pearson Correlation,Statistical Parity Abs Diff,Disparate Impact,Disparate Impact Obj,Equal Opportunity Abs Diff,Predictive Equality Abs Diff,Average Odds Diff,Average Odds Error,Consistency,Consistency Obj,Model,Preprocessor,ModelPreprocessor
5,0.6591093117408907,0.6940639269406392,0.5143824027072758,0.5908649173955295,0.6531539342728925,0.7148085674349192,0.0351012964496068,0.05408091009885725,0.6122125726205191,0.2573965640821092,0.2580701825113889,2.3795603583633507,1.3795603583633507,0.26879243775795497,0.20723362658846534,-0.23801303217321015,0.23801303217321015,0.9778137651821862,0.022186234817813788,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.5951417004048583,0.5541795665634675,0.6280701754385964,0.5888157894736842,0.5974937343358395,0.6361706898826012,0.020714220741536254,0.03119092357057245,0.46459823100014697,0.20293048172500838,0.21509815037913682,1.5667008961911875,0.5667008961911875,0.25835573214911767,0.16006639558410435,-0.209211063866611,0.209211063866611,0.9831578947368421,0.01684210526315788,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6323886639676113,0.6277533039647577,0.5,0.556640625,0.6229323308270677,0.6418467220683287,4.947261206256215e-08,7.647576564083888e-08,0.6524029321819516,0.0003145491658253146,0.00032185292797581866,1.0008760367774705,0.0008760367774705013,0.08326516302442444,0.09315025438544797,0.004942545680511765,0.0882077087049362,0.9817004048582996,0.01829959514170043,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.674493927125506,0.6609195402298851,0.6052631578947368,0.631868131868132,0.6695488721804511,0.7181519588444797,0.02144685859523185,0.03256235898887503,0.557150035361175,0.20425622257211815,0.21412668603689794,1.765270156184044,0.765270156184044,0.27565151338085775,0.1281061543599112,-0.20187883387038447,0.20187883387038447,0.9946558704453441,0.0053441295546559076,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.671255060728745,0.7039800995024875,0.4964912280701754,0.5823045267489712,0.6587719298245613,0.7183893945389791,0.012183002249282288,0.01922989749973623,0.6429865425155585,0.15323094868123383,0.15236930999456688,1.6806933305192064,0.6806933305192064,0.2197908145378053,0.06380262046476909,-0.1417967175012872,0.1417967175012872,0.9974089068825911,0.0025910931174089047,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.648582995951417,0.6497797356828194,0.5175438596491229,0.5761718750000001,0.6392230576441102,0.6898588576704919,0.011562800241762788,0.017874010782423407,0.6199431796208194,0.14999955128833303,0.15348250773628136,1.5787276209138683,0.5787276209138683,0.20830898679443732,0.079321114974365,-0.14381505088440116,0.14381505088440116,0.977165991902834,0.02283400809716596,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.648582995951417,0.673469387755102,0.4631578947368421,0.5488565488565489,0.6353383458646616,0.6878089961746471,0.022204212467669016,0.03521570750641929,0.2768019702295025,0.2047230792677159,0.20222698603926015,2.1082038834951455,1.1082038834951455,0.255317284094893,0.13065000883964875,-0.1929836464672709,0.1929836464672709,0.977327935222672,0.02267206477732797,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
0,0.6251012145748988,0.58603066439523,0.6099290780141844,0.5977410947002607,0.6238915136717718,0.6500406929426811,0.01928534309328206,0.029209296924261968,0.5574671249177237,0.19487993962857805,0.2082425268517018,1.623161847270506,0.623161847270506,0.28557741440981094,0.1096700143472023,-0.19762371437850662,0.19762371437850662,0.9849392712550608,0.015060728744939245,KNeighborsClassifier,OriginalData,"('KNeighborsClassifier', 'OriginalData')"
1,0.6186234817813765,0.5792163543441227,0.6028368794326241,0.5907906168549089,0.617364788449546,0.6538563169187517,0.01791956805692932,0.027140714147403388,0.5529185668677,0.18794111143116696,0.20082791496310698,1.5920704455949375,0.5920704455949375,0.26686254471129284,0.11266379722620756,-0.1897631709687502,0.1897631709687502,0.9782995951417004,0.021700404858299605,KNeighborsClassifier,MetricOptGenerator,"('KNeighborsClassifier', 'MetricOptGenerator')"
2,0.6639676113360324,0.6523517382413088,0.5656028368794326,0.6058879392212725,0.6561248163532781,0.7235667628499858,0.026473030897740196,0.04073079344776146,0.5847404601716408,0.22527787951801073,0.2357426319170524,1.998144335138158,0.998144335138158,0.27893459376596835,0.1496987087517934,-0.21431665125888089,0.21431665125888089,0.9978947368421053,0.002105263157894721,LogisticRegression,OriginalData,"('LogisticRegression', 'OriginalData')"
3,0.6607287449392713,0.6674364896073903,0.5124113475177305,0.579739217652959,0.6489031402268235,0.7262752216972658,0.03414806685814384,0.05350732954099053,0.6027912064632995,0.2525090022833702,0.2578123592874768,2.465847414234511,1.4658474142345108,0.3141926417986714,0.1655380200860832,-0.2398653309423773,0.2398653309423773,0.9983805668016195,0.0016194331983805377,LogisticRegression,MetricOptGenerator,"('LogisticRegression', 'MetricOptGenerator')"
4,0.6615384615384615,0.6546610169491526,0.5478723404255319,0.5965250965250966,0.6524756635063576,0.70028458635888,0.02081474881500031,0.03217886005407946,0.614541248092108,0.20006477640100037,0.2080173868145987,1.862405416168857,0.862405416168857,0.2546627491057741,0.1203921568627451,-0.1875274529842596,0.1875274529842596,0.9831578947368421,0.01684210526315788,DecisionTreeClassifier,OriginalData,"('DecisionTreeClassifier', 'OriginalData')"
5,0.6591093117408907,0.665893271461717,0.5088652482269503,0.5768844221105527,0.6471300905814334,0.7037157412985805,0.025054333022375835,0.039289067858248,0.6210351615409871,0.21772199620325033,0.22205711952834664,2.1187181464845817,1.1187181464845817,0.26430761369443023,0.13986609277857484,-0.20208685323650255,0.20208685323650255,0.9808906882591093,0.0191093117408907,DecisionTreeClassifier,MetricOptGenerator,"('DecisionTreeClassifier', 'MetricOptGenerator')"
